"id","label","FC_michelson","TC_michelson","responseRate","weights","FC_michelson_c","TC_michelson_c","baseline"
"106","000",0,0.006,0,5,-0.0230314136125654,-0.00271727748691099,0.009
"106","000",0,0.008,0.238095238095238,21,-0.0230314136125654,-0.000717277486910995,0.009
"106","000",0,0.01,0.296296296296296,54,-0.0230314136125654,0.00128272251308901,0.009
"106","000",0,0.012,0.730769230769231,52,-0.0230314136125654,0.00328272251308901,0.009
"106","000",0,0.016,1,14,-0.0230314136125654,0.00728272251308901,0.009
"106","000",0,0.019,1,1,-0.0230314136125654,0.010282722513089,0.009
"106","000",0,0.024,1,1,-0.0230314136125654,0.015282722513089,0.009
"106","000",0,0.031,1,1,-0.0230314136125654,0.022282722513089,0.009
"106","000",0,0.038,1,1,-0.0230314136125654,0.029282722513089,0.009
"106","000",0,0.048,1,1,-0.0230314136125654,0.039282722513089,0.009
"106","100",0.009,0.004,0,3,-0.0140314136125654,-0.00471727748691099,0.009
"106","100",0.009,0.005,0.333333333333333,9,-0.0140314136125654,-0.00371727748691099,0.009
"106","100",0.009,0.006,0.176470588235294,34,-0.0140314136125654,-0.00271727748691099,0.009
"106","100",0.009,0.008,0.604166666666667,48,-0.0140314136125654,-0.000717277486910995,0.009
"106","100",0.009,0.01,0.588235294117647,34,-0.0140314136125654,0.00128272251308901,0.009
"106","100",0.009,0.012,0.882352941176471,17,-0.0140314136125654,0.00328272251308901,0.009
"106","100",0.009,0.016,1,3,-0.0140314136125654,0.00728272251308901,0.009
"106","100",0.009,0.019,1,1,-0.0140314136125654,0.010282722513089,0.009
"106","100",0.009,0.024,1,1,-0.0140314136125654,0.015282722513089,0.009
"106","100",0.009,0.031,1,1,-0.0140314136125654,0.022282722513089,0.009
"106","100",0.009,0.038,1,1,-0.0140314136125654,0.029282722513089,0.009
"106","100",0.009,0.048,1,1,-0.0140314136125654,0.039282722513089,0.009
"106","200",0.018,0.002,0,1,-0.00503141361256545,-0.00671727748691099,0.009
"106","200",0.018,0.003,0.2,5,-0.00503141361256545,-0.00571727748691099,0.009
"106","200",0.018,0.004,0.333333333333333,12,-0.00503141361256545,-0.00471727748691099,0.009
"106","200",0.018,0.005,0.307692307692308,26,-0.00503141361256545,-0.00371727748691099,0.009
"106","200",0.018,0.006,0.382978723404255,47,-0.00503141361256545,-0.00271727748691099,0.009
"106","200",0.018,0.008,0.731707317073171,41,-0.00503141361256545,-0.000717277486910995,0.009
"106","200",0.018,0.01,0.8,15,-0.00503141361256545,0.00128272251308901,0.009
"106","200",0.018,0.012,1,4,-0.00503141361256545,0.00328272251308901,0.009
"106","200",0.018,0.016,1,1,-0.00503141361256545,0.00728272251308901,0.009
"106","200",0.018,0.019,1,1,-0.00503141361256545,0.010282722513089,0.009
"106","200",0.018,0.024,1,1,-0.00503141361256545,0.015282722513089,0.009
"106","200",0.018,0.031,1,1,-0.00503141361256545,0.022282722513089,0.009
"106","200",0.018,0.038,1,1,-0.00503141361256545,0.029282722513089,0.009
"106","200",0.018,0.048,1,1,-0.00503141361256545,0.039282722513089,0.009
"106","400",0.036,0.003,0,2,0.0129685863874346,-0.00571727748691099,0.009
"106","400",0.036,0.004,0.333333333333333,6,0.0129685863874346,-0.00471727748691099,0.009
"106","400",0.036,0.005,0.333333333333333,12,0.0129685863874346,-0.00371727748691099,0.009
"106","400",0.036,0.006,0.257142857142857,35,0.0129685863874346,-0.00271727748691099,0.009
"106","400",0.036,0.008,0.58695652173913,46,0.0129685863874346,-0.000717277486910995,0.009
"106","400",0.036,0.01,0.606060606060606,33,0.0129685863874346,0.00128272251308901,0.009
"106","400",0.036,0.012,1,14,0.0129685863874346,0.00328272251308901,0.009
"106","400",0.036,0.016,1,1,0.0129685863874346,0.00728272251308901,0.009
"106","400",0.036,0.019,1,1,0.0129685863874346,0.010282722513089,0.009
"106","400",0.036,0.024,1,1,0.0129685863874346,0.015282722513089,0.009
"106","400",0.036,0.031,1,1,0.0129685863874346,0.022282722513089,0.009
"106","400",0.036,0.038,1,1,0.0129685863874346,0.029282722513089,0.009
"106","400",0.036,0.048,1,1,0.0129685863874346,0.039282722513089,0.009
"106","800",0.069,0.005,0,4,0.0459685863874346,-0.00371727748691099,0.009
"106","800",0.069,0.006,0.117647058823529,34,0.0459685863874346,-0.00271727748691099,0.009
"106","800",0.069,0.008,0.625,48,0.0459685863874346,-0.000717277486910995,0.009
"106","800",0.069,0.01,0.620689655172414,29,0.0459685863874346,0.00128272251308901,0.009
"106","800",0.069,0.012,0.705882352941177,17,0.0459685863874346,0.00328272251308901,0.009
"106","800",0.069,0.016,0.857142857142857,7,0.0459685863874346,0.00728272251308901,0.009
"106","800",0.069,0.019,1,2,0.0459685863874346,0.010282722513089,0.009
"106","800",0.069,0.024,1,1,0.0459685863874346,0.015282722513089,0.009
"106","800",0.069,0.031,1,1,0.0459685863874346,0.022282722513089,0.009
"106","800",0.069,0.038,1,1,0.0459685863874346,0.029282722513089,0.009
"106","800",0.069,0.048,1,1,0.0459685863874346,0.039282722513089,0.009
"107","000",0,0.003,0,1,-0.0230314136125654,-0.00571727748691099,0.007
"107","000",0,0.004,0.333333333333333,3,-0.0230314136125654,-0.00471727748691099,0.007
"107","000",0,0.005,0.666666666666667,3,-0.0230314136125654,-0.00371727748691099,0.007
"107","000",0,0.006,0.166666666666667,6,-0.0230314136125654,-0.00271727748691099,0.007
"107","000",0,0.008,0.230769230769231,26,-0.0230314136125654,-0.000717277486910995,0.007
"107","000",0,0.01,0.4375,48,-0.0230314136125654,0.00128272251308901,0.007
"107","000",0,0.012,0.717948717948718,39,-0.0230314136125654,0.00328272251308901,0.007
"107","000",0,0.016,0.8,15,-0.0230314136125654,0.00728272251308901,0.007
"107","000",0,0.019,0.8,5,-0.0230314136125654,0.010282722513089,0.007
"107","000",0,0.024,0.666666666666667,3,-0.0230314136125654,0.015282722513089,0.007
"107","000",0,0.031,1,2,-0.0230314136125654,0.022282722513089,0.007
"107","000",0,0.038,1,1,-0.0230314136125654,0.029282722513089,0.007
"107","000",0,0.048,1,1,-0.0230314136125654,0.039282722513089,0.007
"107","100",0.007,0.003,0,2,-0.0160314136125654,-0.00571727748691099,0.007
"107","100",0.007,0.004,0.333333333333333,6,-0.0160314136125654,-0.00471727748691099,0.007
"107","100",0.007,0.005,0.307692307692308,13,-0.0160314136125654,-0.00371727748691099,0.007
"107","100",0.007,0.006,0.333333333333333,30,-0.0160314136125654,-0.00271727748691099,0.007
"107","100",0.007,0.008,0.6,35,-0.0160314136125654,-0.000717277486910995,0.007
"107","100",0.007,0.01,0.535714285714286,28,-0.0160314136125654,0.00128272251308901,0.007
"107","100",0.007,0.012,0.666666666666667,21,-0.0160314136125654,0.00328272251308901,0.007
"107","100",0.007,0.016,0.888888888888889,9,-0.0160314136125654,0.00728272251308901,0.007
"107","100",0.007,0.019,1,2,-0.0160314136125654,0.010282722513089,0.007
"107","100",0.007,0.024,1,1,-0.0160314136125654,0.015282722513089,0.007
"107","100",0.007,0.031,1,1,-0.0160314136125654,0.022282722513089,0.007
"107","100",0.007,0.038,1,1,-0.0160314136125654,0.029282722513089,0.007
"107","100",0.007,0.048,1,1,-0.0160314136125654,0.039282722513089,0.007
"107","200",0.014,0.002,0.260869565217391,23,-0.00903141361256545,-0.00671727748691099,0.007
"107","200",0.014,0.003,0.354838709677419,31,-0.00903141361256545,-0.00571727748691099,0.007
"107","200",0.014,0.004,0.606060606060606,33,-0.00903141361256545,-0.00471727748691099,0.007
"107","200",0.014,0.005,0.565217391304348,23,-0.00903141361256545,-0.00371727748691099,0.007
"107","200",0.014,0.006,0.625,16,-0.00903141361256545,-0.00271727748691099,0.007
"107","200",0.014,0.008,0.545454545454545,11,-0.00903141361256545,-0.000717277486910995,0.007
"107","200",0.014,0.01,0.714285714285714,7,-0.00903141361256545,0.00128272251308901,0.007
"107","200",0.014,0.012,0.75,4,-0.00903141361256545,0.00328272251308901,0.007
"107","200",0.014,0.016,1,2,-0.00903141361256545,0.00728272251308901,0.007
"107","200",0.014,0.019,1,1,-0.00903141361256545,0.010282722513089,0.007
"107","200",0.014,0.024,1,1,-0.00903141361256545,0.015282722513089,0.007
"107","200",0.014,0.031,1,1,-0.00903141361256545,0.022282722513089,0.007
"107","200",0.014,0.038,1,1,-0.00903141361256545,0.029282722513089,0.007
"107","200",0.014,0.048,1,1,-0.00903141361256545,0.039282722513089,0.007
"107","400",0.027,0.002,0.333333333333333,12,0.00396858638743455,-0.00671727748691099,0.007
"107","400",0.027,0.003,0.363636363636364,11,0.00396858638743455,-0.00571727748691099,0.007
"107","400",0.027,0.004,0.368421052631579,19,0.00396858638743455,-0.00471727748691099,0.007
"107","400",0.027,0.005,0.4,30,0.00396858638743455,-0.00371727748691099,0.007
"107","400",0.027,0.006,0.5,36,0.00396858638743455,-0.00271727748691099,0.007
"107","400",0.027,0.008,0.692307692307692,26,0.00396858638743455,-0.000717277486910995,0.007
"107","400",0.027,0.01,0.818181818181818,11,0.00396858638743455,0.00128272251308901,0.007
"107","400",0.027,0.012,0.75,4,0.00396858638743455,0.00328272251308901,0.007
"107","400",0.027,0.016,1,2,0.00396858638743455,0.00728272251308901,0.007
"107","400",0.027,0.019,1,1,0.00396858638743455,0.010282722513089,0.007
"107","400",0.027,0.024,1,1,0.00396858638743455,0.015282722513089,0.007
"107","400",0.027,0.031,1,1,0.00396858638743455,0.022282722513089,0.007
"107","400",0.027,0.038,1,1,0.00396858638743455,0.029282722513089,0.007
"107","400",0.027,0.048,1,1,0.00396858638743455,0.039282722513089,0.007
"107","800",0.052,0.002,0.166666666666667,6,0.0289685863874346,-0.00671727748691099,0.007
"107","800",0.052,0.003,0.444444444444444,9,0.0289685863874346,-0.00571727748691099,0.007
"107","800",0.052,0.004,0.357142857142857,14,0.0289685863874346,-0.00471727748691099,0.007
"107","800",0.052,0.005,0.321428571428571,28,0.0289685863874346,-0.00371727748691099,0.007
"107","800",0.052,0.006,0.555555555555556,36,0.0289685863874346,-0.00271727748691099,0.007
"107","800",0.052,0.008,0.586206896551724,29,0.0289685863874346,-0.000717277486910995,0.007
"107","800",0.052,0.01,0.722222222222222,18,0.0289685863874346,0.00128272251308901,0.007
"107","800",0.052,0.012,0.857142857142857,7,0.0289685863874346,0.00328272251308901,0.007
"107","800",0.052,0.016,1,2,0.0289685863874346,0.00728272251308901,0.007
"107","800",0.052,0.019,1,1,0.0289685863874346,0.010282722513089,0.007
"107","800",0.052,0.024,1,1,0.0289685863874346,0.015282722513089,0.007
"107","800",0.052,0.031,1,1,0.0289685863874346,0.022282722513089,0.007
"107","800",0.052,0.038,1,1,0.0289685863874346,0.029282722513089,0.007
"107","800",0.052,0.048,1,1,0.0289685863874346,0.039282722513089,0.007
